"Tube_ID","Fire.Interval","Fire.Severity","Site","Transect","Location","Ortho_P_mg_kg","Nitrate_mg_kg","Ammonia_mg_kg","pH","log10_biomass_day","perc_myco_host_freq","C_N","C_P","N_P","Carb_Hyph","Nitrog_Hyph","Phos_Hyph","Longitude","Latitude","readcount","ITSall_OTUa_13","ITSall_OTUa_151","ITSall_OTUd_1875","ITSall_OTUj_1017","ITSall_OTUb_427","ITSall_OTUb_49","ITSall_OTUb_2441","ITSall_OTUa_255","ITSall_OTUj_215","ITSall_OTUc_1019","ITSall_OTUn_8735","ITSall_OTUj_12577","ITSall_OTUm_5129","ITSall_OTUb_8161","ITSall_OTUb_3024","ITSall_OTUj_14184","ITSall_OTUa_586","ITSall_OTUa_1517","ITSall_OTUa_90","ITSall_OTUa_8584","ITSall_OTUe_2810","ITSall_OTUj_3346","ITSall_OTUm_14529","ITSall_OTUj_119","ITSall_OTUa_515","ITSall_OTUf_540","ITSall_OTUa_3548","ITSall_OTUj_19097","ITSall_OTUj_17688","ITSall_OTUm_9536","ITSall_OTUf_1","ITSall_OTUa_797","ITSall_OTUa_720","ITSall_OTUj_3647","ITSall_OTUj_6306","ITSall_OTUm_8394","ITSall_OTUj_12409","ITSall_OTUj_593","ITSall_OTUe_4361","ITSall_OTUa_9461","ITSall_OTUg_230","ITSall_OTUf_542","ITSall_OTUj_240","ITSall_OTUa_4352","ITSall_OTUb_26","ITSall_OTUm_14471","ITSall_OTUa_1001","ITSall_OTUa_706","ITSall_OTUm_5515","ITSall_OTUj_272","ITSall_OTUj_685","ITSall_OTUn_605","ITSall_OTUj_330","ITSall_OTUa_242","ITSall_OTUm_6301","ITSall_OTUm_4005","ITSall_OTUa_1016","ITSall_OTUj_175","ITSall_OTUa_8076","ITSall_OTUj_65","ITSall_OTUj_931","ITSall_OTUm_1869","ITSall_OTUa_581","ITSall_OTUb_2083","ITSall_OTUa_1255","ITSall_OTUf_14","ITSall_OTUf_11","ITSall_OTUj_548","ITSall_OTUd_3965","ITSall_OTUj_26487","ITSall_OTUk_1642","ITSall_OTUe_4441","ITSall_OTUn_1693","ITSall_OTUa_762","ITSall_OTUn_1678","ITSall_OTUj_644","ITSall_OTUj_286","ITSall_OTUj_9587","ITSall_OTUf_1054","ITSall_OTUj_26677","ITSall_OTUm_3073","ITSall_OTUa_9946","ITSall_OTUa_9138","ITSall_OTUf_574","ITSall_OTUj_13635","ITSall_OTUj_19104","ITSall_OTUj_177","ITSall_OTUn_5685","ITSall_OTUm_14563","ITSall_OTUa_484","ITSall_OTUa_10308","ITSall_OTUa_6570","ITSall_OTUa_851","ITSall_OTUa_6712","ITSall_OTUj_9095","ITSall_OTUa_994","ITSall_OTUj_464","ITSall_OTUa_4555","ITSall_OTUm_386","ITSall_OTUn_12223","ITSall_OTUj_20919","ITSall_OTUj_14517","ITSall_OTUj_1545","ITSall_OTUj_6744","ITSall_OTUj_7447","ITSall_OTUj_17852","ITSall_OTUj_6467","ITSall_OTUm_39","ITSall_OTUa_2566","ITSall_OTUa_2145","ITSall_OTUj_5244","ITSall_OTUm_14021","ITSall_OTUm_172","ITSall_OTUc_718","ITSall_OTUn_2565","ITSall_OTUj_11060","ITSall_OTUb_8759","ITSall_OTUb_3146","ITSall_OTUb_2058","ITSall_OTUc_2427","ITSall_OTUj_2352","ITSall_OTUa_7612","ITSall_OTUj_403","ITSall_OTUj_14951","ITSall_OTUj_1429","ITSall_OTUa_7420","ITSall_OTUm_26","ITSall_OTUm_2633","ITSall_OTUm_139","ITSall_OTUm_4360","ITSall_OTUm_140","ITSall_OTUa_114","ITSall_OTUm_355","ITSall_OTUj_5345","ITSall_OTUj_1470","ITSall_OTUm_12861","ITSall_OTUj_150","ITSall_OTUm_603","ITSall_OTUj_935","ITSall_OTUa_9510","ITSall_OTUj_74","ITSall_OTUm_111","ITSall_OTUm_1506","ITSall_OTUn_6179","ITSall_OTUn_5597","ITSall_OTUn_5925","ITSall_OTUn_1847","ITSall_OTUn_4186","ITSall_OTUn_3102","ITSall_OTUn_316","ITSall_OTUn_4986","ITSall_OTUn_8748","ITSall_OTUn_8899","ITSall_OTUn_10605","ITSall_OTUn_12191","ITSall_OTUa_1273","ITSall_OTUa_1513","ITSall_OTUb_342","ITSall_OTUf_395","ITSall_OTUg_193","ITSall_OTUn_1190"
9,"Long","High",29,2,47,0.0577095808383234,0.0188622754491018,0.0188622754491018,5.39,-2.03131666008793,0.5,10.5518072029659,NA,NA,45.4098149122807,4.30351067251463,NA,151.07002,-34.08446,4429,0,0,0,0,0,4407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,"Short","High",31,1,3,0.0394063277639531,0.00895840739424103,0.329781372200498,5.61,-1.84357862877617,0.698717948717949,9.67275552960471,759.672527787146,78.5373439308035,42.9353645607375,4.43879351952278,0.0565182535767143,150.69537,-33.1823,46,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,"Short","High",31,1,16,0.0353006681514477,0.00935412026726058,0.29793986636971,5.61,-2.09212785149574,0.698717948717949,9.67275552960471,759.672527787146,78.5373439308035,42.9353645607375,4.43879351952278,0.0565182535767143,150.69537,-33.1823,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,19,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,"Short","High",31,1,33,0.0623259315016936,0.0647534813699661,0.319279262325932,5.11,-2.03505719703744,0.698717948717949,9.67275552960471,759.672527787146,78.5373439308035,42.9353645607375,4.43879351952278,0.0565182535767143,150.69537,-33.1823,3075,21,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,24,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,886,0,927,0,0,14,0,0,0,0,0,0,469,0,0,0,0,0,74,0,47,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,119,114,80,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,"Short","High",31,1,47,0.0236301369863014,0.00958904109589041,0.26509703196347,5.42,-2.12065702809018,0.698717948717949,9.67275552960471,759.672527787146,78.5373439308035,42.9353645607375,4.43879351952278,0.0565182535767143,150.69537,-33.1823,8781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,381,17,912,0,0,63,0,0,0,30,0,0,0,0,0,0,0,0,112,0,0,0,0,0,0,7146,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,"Short","High",31,2,3,0.0268899700598802,0.0094311377245509,0.143909056886228,5.08,-1.64051919959642,0.682352941176471,12.4650470176463,781.747816006862,62.7151919202687,45.5041745748299,3.65054175170068,0.0582082528957529,150.69537,-33.1823,1573,0,0,43,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,744,0,0,0,0,0,0,0,0,0,0,0,0
33,"Short","High",31,2,16,0.0347126436781609,0.0096551724137931,0.0096551724137931,5.58,-2.09786256225784,0.682352941176471,12.4650470176463,781.747816006862,62.7151919202687,45.5041745748299,3.65054175170068,0.0582082528957529,150.69537,-33.1823,72571,0,0,0,0,0,0,0,0,0,0,0,0,0,9669,0,0,0,0,0,0,0,0,60477,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,0,0,0,19,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0
14,"Short","High",31,2,33,0.0640969162995595,0.0275055066079295,0.198926211453745,5.4,-2.34757912001672,0.682352941176471,12.4650470176463,781.747816006862,62.7151919202687,45.5041745748299,3.65054175170068,0.0582082528957529,150.69537,-33.1823,179,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,16,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,12,15,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,"Short","High",31,2,47,0.0333394160583942,0.00919708029197081,0.177098540145985,5.3,-1.67287542295102,0.682352941176471,12.4650470176463,781.747816006862,62.7151919202687,45.5041745748299,3.65054175170068,0.0582082528957529,150.69537,-33.1823,41881,0,0,0,61,0,11,0,0,16,0,0,0,0,40425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,"Short","Low",34,1,3,0.0523217550274223,0.00921389396709324,0.0792504570383912,4.83,-1.62207904674764,0.704081632653061,13.7043531682657,3009.52171851977,219.603339287017,49.2487812882393,3.59365967029232,0.0163643216080402,150.59972,-33.44346,25867,0,0,0,0,0,322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25247,0,0,0,15,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,0,0,0,0,0,0,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,"Short","Low",34,1,16,0.0306461538461538,0.00775384615384616,0.0408,4.83,-2.38241149009961,0.704081632653061,13.7043531682657,3009.52171851977,219.603339287017,49.2487812882393,3.59365967029232,0.0163643216080402,150.59972,-33.44346,59630,0,0,0,0,0,0,0,0,0,120,0,0,0,13899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,"Short","Low",34,1,33,0.0503799392097265,0.0220839665653495,0.0306325987841945,5.09,-2.10666938153183,0.704081632653061,13.7043531682657,3009.52171851977,219.603339287017,49.2487812882393,3.59365967029232,0.0163643216080402,150.59972,-33.44346,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,"Short","Low",34,1,47,0.0499811534112326,0.00949868073878628,0.0862796833773087,4.71,-1.96188093255509,0.704081632653061,13.7043531682657,3009.52171851977,219.603339287017,49.2487812882393,3.59365967029232,0.0163643216080402,150.59972,-33.44346,16554,0,0,0,0,0,23,0,0,0,0,5383,0,0,0,0,2199,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,"Short","Low",34,2,3,0.0259224397590362,0.0184393825301205,0.2390625,5.05,-2.17131558626824,0.807339449541284,11.3070142520297,910.831207678611,80.5545290185788,47.520238163482,4.20272205414013,0.0521723868954758,150.59972,-33.44346,43472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1061,0,0,0,0,0,0,0,0,0,0,0,42255,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,"Short","Low",34,2,16,0.041849710982659,0.00971098265895954,0.0258381502890173,4.8,-1.89419591365184,0.807339449541284,11.3070142520297,910.831207678611,80.5545290185788,47.520238163482,4.20272205414013,0.0521723868954758,150.59972,-33.44346,85543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81855,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,474,0,0,0,3175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,"Short","Low",34,2,33,0.0538018433179724,0.00967741935483871,0.266100230414747,4.6,-1.90278659501546,0.807339449541284,11.3070142520297,910.831207678611,80.5545290185788,47.520238163482,4.20272205414013,0.0521723868954758,150.59972,-33.44346,5739,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,593,0,0,0,0,0,0,2931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,685,0,0,0,50,0,1260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,"Short","Low",34,2,47,0.0375433860393367,0.00971847281141535,0.00971847281141535,4.67,-2.12131084247802,0.807339449541284,11.3070142520297,910.831207678611,80.5545290185788,47.520238163482,4.20272205414013,0.0521723868954758,150.59972,-33.44346,488,0,0,0,0,0,157,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"Long","Low",49,1,3,0.0907383419689119,0.0163212435233161,0.830586139896373,5.04,-2.28086880344673,0.622047244094488,14.7233405093016,2153.77125710358,146.282785196941,47.7530920130641,3.24335988717341,0.0221718494271686,150.67812,-33.26627,668,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,"Long","Low",49,1,16,0.05625,0.0479409620991254,0.157871720116618,5.06,-1.74975519766017,0.622047244094488,14.7233405093016,2153.77125710358,146.282785196941,47.7530920130641,3.24335988717341,0.0221718494271686,150.67812,-33.26627,41465,0,0,0,0,0,29,0,0,0,0,0,0,0,41222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,"Long","Low",49,1,33,0.0368978102189781,0.00919708029197081,0.0705656934306569,5.04,-2.01287164734122,0.622047244094488,14.7233405093016,2153.77125710358,146.282785196941,47.7530920130641,3.24335988717341,0.0221718494271686,150.67812,-33.26627,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,"Long","Low",49,1,47,0.0166219839142091,0.315348525469169,0.702882037533512,5.1,-2.29703793525332,0.622047244094488,14.7233405093016,2153.77125710358,146.282785196941,47.7530920130641,3.24335988717341,0.0221718494271686,150.67812,-33.26627,6461,0,0,146,0,0,5511,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,"Long","Low",49,2,3,0.14021384559623,0.0551014860456687,0.379757158390721,4.78,-1.96217087906251,0.630573248407643,10.7824288379691,NA,NA,51.1325640588235,4.74221205882353,NA,150.67812,-33.26627,40608,0,0,0,0,0,0,0,0,0,0,0,0,0,39781,0,0,20,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,"Long","Low",49,2,16,0.0694383138380049,0.0139042154049879,0.530636173030236,5.18,-2.00367341114643,0.630573248407643,10.7824288379691,NA,NA,51.1325640588235,4.74221205882353,NA,150.67812,-33.26627,87639,0,0,0,0,0,0,0,0,0,0,0,0,0,84848,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Long","Low",49,2,47,0.170056726094003,0.199534035656402,0.0204213938411669,4.87,-1.68104898567785,0.630573248407643,10.7824288379691,NA,NA,51.1325640588235,4.74221205882353,NA,150.67812,-33.26627,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,"Long","High",56,1,3,0.0575100991553434,0.20894234300404,0.383042600073448,5.01,-2.06022385885982,0.814814814814815,11.1514040967477,1360.85555599841,122.034458099792,43.9139742075665,3.93797712167689,0.0322693867207299,150.90987,-32.79934,4615,0,0,0,0,0,13,0,179,0,0,0,0,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,330,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,191,0,0,0,0,0,0,3324,0,0,0,0,0,0,0,0,38,0,0,0,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,"Long","High",56,1,33,0.172008384146341,0.00960365853658537,0.617520960365854,4.9,-1.66241034287829,0.814814814814815,11.1514040967477,1360.85555599841,122.034458099792,43.9139742075665,3.93797712167689,0.0322693867207299,150.90987,-32.79934,368,0,0,0,0,0,317,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,"Long","High",56,1,47,0.0602036967182195,0.273943794794417,0.386712561297624,5.18,-2.18693169615601,0.814814814814815,11.1514040967477,1360.85555599841,122.034458099792,43.9139742075665,3.93797712167689,0.0322693867207299,150.90987,-32.79934,64138,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,2129,0,0,0,0,0,0,0,0,49174,0,0,0,0,0,0,0,0,0,0,0,12182,0,0,0,0,0,0,0,0,0,103,0,0,0,27,0,0,0,0,0,0,24,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,97,19,22,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,"Long","High",56,2,3,0.263171325376884,0.148722126256281,0.508676193467337,4.89,-1.99219748262992,0.777070063694268,NA,NA,NA,NA,NA,NA,150.90987,-32.79934,15590,0,0,0,0,0,1423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5999,0,0,4476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,724,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,2323,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,"Long","High",56,2,16,0.102974559686888,0.00986301369863014,0.235185909980431,4.91,-2.13845740594505,0.777070063694268,NA,NA,NA,NA,NA,NA,150.90987,-32.79934,40571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,218,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,5816,46,0,32,464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,759,0,0,0,24074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
61,"Long","High",56,2,33,0.10339161832123,0.20018053470729,2.42644732037811,5.01,-2.60263520630214,0.777070063694268,NA,NA,NA,NA,NA,NA,150.90987,-32.79934,24434,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,17116,0,0,0,0,0,0,0,0,0,0,1738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234,5220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,"Long","High",56,2,47,0.056717256885891,0.175407532321529,0.814052838673412,5.08,-2.51416113177105,0.777070063694268,NA,NA,NA,NA,NA,NA,150.90987,-32.79934,11398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7997,0,1695,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
